Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
8,Dec,2008,"9,276.89","9,432.11","9,095.70","9,162.62","9,162.62","50,200"
5,Dec,2008,"9,172.58","9,340.69","8,914.38","8,965.20","8,965.20","53,000"
4,Dec,2008,"8,779.02","9,245.06","8,726.71","9,229.75","9,229.75","55,200"
3,Dec,2008,"8,851.22","8,854.81","8,601.41","8,747.43","8,747.43","52,400"
2,Dec,2008,"8,535.83","8,785.04","8,467.43","8,739.24","8,739.24","41,000"
1,Dec,2008,"9,162.94","9,326.68","8,803.34","8,839.87","8,839.87","45,200"
28,Nov,2008,"8,889.18","9,157.62","8,889.18","9,092.72","9,092.72","34,000"
27,Nov,2008,,,,,,
26,Nov,2008,"8,806.02","9,061.72","8,658.53","9,026.72","9,026.72","44,600"
25,Nov,2008,"9,170.28","9,182.80","8,649.40","8,695.53","8,695.53","41,600"
24,Nov,2008,"8,840.53","9,042.02","8,701.93","8,903.12","8,903.12","43,800"
21,Nov,2008,"8,481.02","8,988.03","8,442.31","8,915.21","8,915.21","59,200"
20,Nov,2008,"8,400.88","8,540.46","8,316.39","8,451.01","8,451.01","40,000"
19,Nov,2008,"8,970.67","9,236.27","8,726.80","8,773.78","8,773.78","42,600"
18,Nov,2008,"9,084.12","9,169.05","8,871.71","8,937.20","8,937.20","41,000"
17,Nov,2008,"9,396.93","9,424.25","8,956.68","9,291.01","9,291.01","41,800"
14,Nov,2008,"9,784.85","9,826.25","9,267.49","9,385.42","9,385.42","46,200"
12,Nov,2008,"9,683.75","9,928.60","9,376.73","9,536.33","9,536.33","52,400"
11,Nov,2008,"10,386.45","10,397.36","9,800.67","9,839.69","9,839.69","63,600"
10,Nov,2008,"10,154.56","10,570.58","10,095.90","10,536.16","10,536.16","45,400"
7,Nov,2008,"9,631.59","10,065.37","9,631.59","9,964.29","9,964.29","42,000"
6,Nov,2008,"9,755.03","10,109.45","9,635.22","9,734.22","9,734.22","49,400"
5,Nov,2008,"10,931.17","10,945.41","10,051.52","10,120.01","10,120.01","53,400"
4,Nov,2008,"10,304.57","10,668.48","10,116.22","10,631.12","10,631.12","51,000"
3,Nov,2008,"10,209.37","10,373.17","10,112.66","10,337.68","10,337.68","44,800"
31,Oct,2008,"9,361.66","9,870.42","9,361.66","9,788.06","9,788.06","57,200"
29,Oct,2008,"9,297.76","9,297.76","8,894.34","9,044.51","9,044.51","55,000"
27,Oct,2008,"8,588.86","8,739.48","7,697.39","8,509.56","8,509.56","55,400"
